ID,Name,Age,Marks
1,Student_1,19,76
2,Student_2,24,73
3,Student_3,21,85
4,Student_4,18,83
5,Student_5,21,100
6,Student_6,18,61
7,Student_7,20,70
8,Student_8,22,93
9,Student_9,24,71
10,Student_10,19,55
11,Student_11,25,65
12,Student_12,25,63
13,Student_13,24,99
14,Student_14,19,89
15,Student_15,19,88
16,Student_16,19,55
17,Student_17,18,89
18,Student_18,22,89
19,Student_19,23,82
20,Student_20,20,56
21,Student_21,24,53
22,Student_22,25,60
23,Student_23,24,100
24,Student_24,25,52
25,Student_25,24,100
26,Student_26,19,93
27,Student_27,23,81
28,Student_28,21,97
29,Student_29,23,68
30,Student_30,20,58
31,Student_31,24,61
32,Student_32,22,99
33,Student_33,21,54
34,Student_34,23,90
35,Student_35,22,88
36,Student_36,24,55
37,Student_37,20,81
38,Student_38,21,65
39,Student_39,25,86
40,Student_40,22,81
41,Student_41,23,53
42,Student_42,25,78
43,Student_43,20,96
44,Student_44,23,79
45,Student_45,19,89
46,Student_46,24,82
47,Student_47,20,56
48,Student_48,19,60
49,Student_49,20,62
50,Student_50,18,90
51,Student_51,20,99
52,Student_52,22,60
53,Student_53,24,67
54,Student_54,23,56
55,Student_55,21,76
56,Student_56,24,98
57,Student_57,18,81
58,Student_58,24,82
59,Student_59,24,64
60,Student_60,20,71
61,Student_61,24,84
62,Student_62,21,86
63,Student_63,18,92
64,Student_64,21,51
65,Student_65,19,91
66,Student_66,23,92
67,Student_67,20,74
68,Student_68,19,54
69,Student_69,21,76
70,Student_70,20,78
71,Student_71,25,86
72,Student_72,20,85
73,Student_73,19,64
74,Student_74,18,65
75,Student_75,24,56
76,Student_76,22,94
77,Student_77,21,60
78,Student_78,18,50
79,Student_79,18,65
80,Student_80,20,57
81,Student_81,22,79
82,Student_82,24,90
83,Student_83,23,85
84,Student_84,25,94
85,Student_85,23,87
86,Student_86,25,62
87,Student_87,20,98
88,Student_88,20,78
89,Student_89,24,76
90,Student_90,22,51
91,Student_91,24,78
92,Student_92,20,93
93,Student_93,25,70
94,Student_94,19,56
95,Student_95,22,66
96,Student_96,20,78
97,Student_97,20,94
98,Student_98,24,65
99,Student_99,19,92
100,Student_100,18,76
101,Student_101,25,100
102,Student_102,18,69
103,Student_103,25,51
104,Student_104,25,93
105,Student_105,22,86
106,Student_106,23,86
107,Student_107,21,88
108,Student_108,19,88
109,Student_109,18,91
110,Student_110,21,98
111,Student_111,22,71
112,Student_112,18,95
113,Student_113,23,84
114,Student_114,23,88
115,Student_115,23,87
116,Student_116,19,93
117,Student_117,21,56
118,Student_118,18,58
119,Student_119,21,76
120,Student_120,21,65
121,Student_121,20,65
122,Student_122,24,51
123,Student_123,19,96
124,Student_124,18,93
125,Student_125,18,70
126,Student_126,22,76
127,Student_127,20,74
128,Student_128,21,94
129,Student_129,21,79
130,Student_130,25,77
131,Student_131,23,97
132,Student_132,23,54
133,Student_133,25,66
134,Student_134,21,70
135,Student_135,18,68
136,Student_136,22,70
137,Student_137,24,94
138,Student_138,19,84
139,Student_139,22,87
140,Student_140,22,61
141,Student_141,25,99
142,Student_142,21,91
143,Student_143,18,64
144,Student_144,20,93
145,Student_145,20,87
146,Student_146,18,65
147,Student_147,25,71
148,Student_148,19,99
149,Student_149,20,73
150,Student_150,18,71
151,Student_151,20,79
152,Student_152,21,58
153,Student_153,20,83
154,Student_154,19,80
155,Student_155,20,71
156,Student_156,23,97
157,Student_157,25,51
158,Student_158,24,78
159,Student_159,19,84
160,Student_160,23,62
161,Student_161,20,60
162,Student_162,20,99
163,Student_163,22,61
164,Student_164,18,63
165,Student_165,21,57
166,Student_166,22,78
167,Student_167,21,61
168,Student_168,25,86
169,Student_169,18,94
170,Student_170,18,71
171,Student_171,19,51
172,Student_172,18,56
173,Student_173,25,96
174,Student_174,21,94
175,Student_175,22,91
176,Student_176,20,84
177,Student_177,23,72
178,Student_178,20,84
179,Student_179,22,69
180,Student_180,25,60
181,Student_181,18,70
182,Student_182,24,92
183,Student_183,24,80
184,Student_184,22,66
185,Student_185,22,77
186,Student_186,18,73
187,Student_187,23,84
188,Student_188,19,83
189,Student_189,21,78
190,Student_190,23,79
191,Student_191,23,57
192,Student_192,21,63
193,Student_193,23,87
194,Student_194,25,90
195,Student_195,23,88
196,Student_196,20,82
197,Student_197,20,69
198,Student_198,23,64
199,Student_199,25,85
200,Student_200,25,58
201,Student_201,19,50
202,Student_202,21,72
203,Student_203,23,63
204,Student_204,24,98
205,Student_205,23,80
206,Student_206,18,75
207,Student_207,19,94
208,Student_208,22,60
209,Student_209,21,64
210,Student_210,21,92
211,Student_211,25,57
212,Student_212,19,57
213,Student_213,25,84
214,Student_214,23,54
215,Student_215,19,74
216,Student_216,21,58
217,Student_217,24,86
218,Student_218,22,71
219,Student_219,22,52
220,Student_220,18,63
221,Student_221,20,64
222,Student_222,22,84
223,Student_223,20,66
224,Student_224,20,50
225,Student_225,24,55
226,Student_226,19,50
227,Student_227,19,71
228,Student_228,22,53
229,Student_229,25,57
230,Student_230,22,56
231,Student_231,21,78
232,Student_232,18,64
233,Student_233,18,98
234,Student_234,18,82
235,Student_235,21,61
236,Student_236,19,95
237,Student_237,21,70
238,Student_238,18,71
239,Student_239,18,96
240,Student_240,24,99
241,Student_241,22,57
242,Student_242,22,59
243,Student_243,23,75
244,Student_244,18,71
245,Student_245,21,70
246,Student_246,22,78
247,Student_247,24,70
248,Student_248,24,52
249,Student_249,24,65
250,Student_250,20,71
251,Student_251,21,97
252,Student_252,22,51
253,Student_253,22,53
254,Student_254,23,87
255,Student_255,25,57
256,Student_256,18,66
257,Student_257,23,53
258,Student_258,20,74
259,Student_259,18,56
260,Student_260,23,96
261,Student_261,21,90
262,Student_262,19,60
263,Student_263,22,76
264,Student_264,21,91
265,Student_265,23,97
266,Student_266,22,76
267,Student_267,21,94
268,Student_268,21,84
269,Student_269,25,93
270,Student_270,22,92
271,Student_271,20,77
272,Student_272,22,94
273,Student_273,24,97
274,Student_274,23,72
275,Student_275,24,65
276,Student_276,20,62
277,Student_277,19,75
278,Student_278,18,95
279,Student_279,20,68
280,Student_280,19,72
281,Student_281,24,60
282,Student_282,21,67
283,Student_283,19,86
284,Student_284,22,79
285,Student_285,22,75
286,Student_286,23,98
287,Student_287,21,61
288,Student_288,19,87
289,Student_289,22,91
290,Student_290,19,80
291,Student_291,21,81
292,Student_292,22,66
293,Student_293,23,52
294,Student_294,19,65
295,Student_295,22,64
296,Student_296,25,69
297,Student_297,21,71
298,Student_298,22,66
299,Student_299,20,95
300,Student_300,24,68
301,Student_301,25,92
302,Student_302,19,58
303,Student_303,24,85
304,Student_304,25,70
305,Student_305,23,54
306,Student_306,24,74
307,Student_307,25,62
308,Student_308,20,59
309,Student_309,22,87
310,Student_310,24,50
311,Student_311,18,80
312,Student_312,22,60
313,Student_313,18,91
314,Student_314,23,100
315,Student_315,24,76
316,Student_316,21,59
317,Student_317,23,96
318,Student_318,25,97
319,Student_319,25,71
320,Student_320,19,51
321,Student_321,25,80
322,Student_322,21,58
323,Student_323,21,95
324,Student_324,23,69
325,Student_325,19,97
326,Student_326,19,69
327,Student_327,22,68
328,Student_328,25,57
329,Student_329,22,58
330,Student_330,22,91
331,Student_331,23,64
332,Student_332,19,63
333,Student_333,19,85
334,Student_334,18,59
335,Student_335,20,80
336,Student_336,22,75
337,Student_337,23,55
338,Student_338,22,56
339,Student_339,22,82
340,Student_340,25,53
341,Student_341,24,68
342,Student_342,24,90
343,Student_343,19,74
344,Student_344,24,57
345,Student_345,20,77
346,Student_346,25,86
347,Student_347,19,91
348,Student_348,24,85
349,Student_349,19,60
350,Student_350,18,97
351,Student_351,19,61
352,Student_352,21,63
353,Student_353,24,60
354,Student_354,18,54
355,Student_355,24,74
356,Student_356,24,76
357,Student_357,24,72
358,Student_358,21,77
359,Student_359,24,99
360,Student_360,20,60
361,Student_361,25,78
362,Student_362,20,66
363,Student_363,23,79
364,Student_364,24,92
365,Student_365,22,96
366,Student_366,23,89
367,Student_367,25,78
368,Student_368,19,74
369,Student_369,21,96
370,Student_370,20,70
371,Student_371,21,94
372,Student_372,22,81
373,Student_373,23,100
374,Student_374,24,100
375,Student_375,18,71
376,Student_376,21,91
377,Student_377,24,61
378,Student_378,19,96
379,Student_379,18,59
380,Student_380,24,92
381,Student_381,21,94
382,Student_382,24,94
383,Student_383,24,70
384,Student_384,23,57
385,Student_385,24,86
386,Student_386,18,53
387,Student_387,21,67
388,Student_388,22,54
389,Student_389,24,73
390,Student_390,22,54
391,Student_391,19,53
392,Student_392,21,79
393,Student_393,18,72
394,Student_394,23,70
395,Student_395,25,100
396,Student_396,23,99
397,Student_397,24,64
398,Student_398,18,94
399,Student_399,20,99
400,Student_400,20,72
401,Student_401,19,58
402,Student_402,25,56
403,Student_403,24,96
404,Student_404,24,60
405,Student_405,22,96
406,Student_406,25,85
407,Student_407,18,74
408,Student_408,24,81
409,Student_409,22,100
410,Student_410,22,89
411,Student_411,24,51
412,Student_412,24,86
413,Student_413,22,62
414,Student_414,18,90
415,Student_415,18,90
416,Student_416,19,56
417,Student_417,21,50
418,Student_418,18,83
419,Student_419,18,63
420,Student_420,20,73
421,Student_421,19,84
422,Student_422,19,90
423,Student_423,18,58
424,Student_424,23,82
425,Student_425,25,100
426,Student_426,18,56
427,Student_427,20,92
428,Student_428,19,89
429,Student_429,23,53
430,Student_430,21,81
431,Student_431,23,100
432,Student_432,25,78
433,Student_433,24,52
434,Student_434,19,76
435,Student_435,18,56
436,Student_436,23,66
437,Student_437,23,95
438,Student_438,23,72
439,Student_439,25,84
440,Student_440,21,64
441,Student_441,19,69
442,Student_442,23,67
443,Student_443,25,74
444,Student_444,18,70
445,Student_445,20,58
446,Student_446,21,96
447,Student_447,18,65
448,Student_448,24,51
449,Student_449,19,58
450,Student_450,19,79
451,Student_451,21,67
452,Student_452,20,76
453,Student_453,21,86
454,Student_454,23,72
455,Student_455,25,75
456,Student_456,18,83
457,Student_457,20,60
458,Student_458,23,73
459,Student_459,19,91
460,Student_460,24,100
461,Student_461,22,89
462,Student_462,19,58
463,Student_463,19,86
464,Student_464,20,56
465,Student_465,21,77
466,Student_466,20,53
467,Student_467,20,91
468,Student_468,19,67
469,Student_469,22,90
470,Student_470,18,67
471,Student_471,21,89
472,Student_472,23,52
473,Student_473,22,94
474,Student_474,19,86
475,Student_475,21,87
476,Student_476,23,62
477,Student_477,22,69
478,Student_478,18,71
479,Student_479,20,89
480,Student_480,24,89
481,Student_481,24,58
482,Student_482,24,80
483,Student_483,24,93
484,Student_484,24,51
485,Student_485,24,58
486,Student_486,22,64
487,Student_487,21,97
488,Student_488,21,66
489,Student_489,21,94
490,Student_490,24,69
491,Student_491,24,73
492,Student_492,18,88
493,Student_493,25,71
494,Student_494,23,75
495,Student_495,24,73
496,Student_496,19,75
497,Student_497,23,78
498,Student_498,20,98
499,Student_499,23,68
500,Student_500,25,54
501,Student_501,25,74
502,Student_502,23,64
503,Student_503,23,85
504,Student_504,19,81
505,Student_505,24,69
506,Student_506,19,73
507,Student_507,25,60
508,Student_508,23,69
509,Student_509,25,65
510,Student_510,21,74
511,Student_511,24,93
512,Student_512,20,63
513,Student_513,20,68
514,Student_514,22,59
515,Student_515,24,61
516,Student_516,21,75
517,Student_517,20,62
518,Student_518,23,57
519,Student_519,23,82
520,Student_520,24,65
521,Student_521,23,57
522,Student_522,20,51
523,Student_523,21,87
524,Student_524,18,99
525,Student_525,25,82
526,Student_526,22,61
527,Student_527,22,66
528,Student_528,22,73
529,Student_529,21,95
530,Student_530,20,55
531,Student_531,24,82
532,Student_532,19,70
533,Student_533,18,65
534,Student_534,23,81
535,Student_535,25,82
536,Student_536,20,83
537,Student_537,18,98
538,Student_538,21,95
539,Student_539,24,90
540,Student_540,23,97
541,Student_541,19,100
542,Student_542,19,77
543,Student_543,21,62
544,Student_544,21,66
545,Student_545,19,50
546,Student_546,21,77
547,Student_547,22,68
548,Student_548,22,84
549,Student_549,21,77
550,Student_550,18,86
551,Student_551,24,69
552,Student_552,19,55
553,Student_553,23,54
554,Student_554,24,82
555,Student_555,20,64
556,Student_556,22,84
557,Student_557,20,65
558,Student_558,22,57
559,Student_559,21,55
560,Student_560,21,50
561,Student_561,21,73
562,Student_562,18,65
563,Student_563,24,84
564,Student_564,18,75
565,Student_565,25,78
566,Student_566,25,78
567,Student_567,18,76
568,Student_568,22,62
569,Student_569,22,58
570,Student_570,21,85
571,Student_571,19,61
572,Student_572,19,55
573,Student_573,18,86
574,Student_574,24,60
575,Student_575,22,74
576,Student_576,24,57
577,Student_577,24,73
578,Student_578,24,51
579,Student_579,24,69
580,Student_580,18,75
581,Student_581,25,94
582,Student_582,19,78
583,Student_583,22,72
584,Student_584,22,68
585,Student_585,20,57
586,Student_586,25,74
587,Student_587,25,96
588,Student_588,22,76
589,Student_589,21,63
590,Student_590,22,54
591,Student_591,18,65
592,Student_592,21,98
593,Student_593,18,53
594,Student_594,22,98
595,Student_595,25,59
596,Student_596,25,62
597,Student_597,19,70
598,Student_598,24,100
599,Student_599,22,51
600,Student_600,22,52
601,Student_601,21,57
602,Student_602,19,65
603,Student_603,19,65
604,Student_604,18,78
605,Student_605,24,57
606,Student_606,18,91
607,Student_607,22,83
608,Student_608,22,71
609,Student_609,25,51
610,Student_610,19,86
611,Student_611,25,66
612,Student_612,23,96
613,Student_613,23,83
614,Student_614,18,75
615,Student_615,22,92
616,Student_616,25,69
617,Student_617,22,98
618,Student_618,22,77
619,Student_619,18,66
620,Student_620,25,72
621,Student_621,22,100
622,Student_622,21,98
623,Student_623,23,90
624,Student_624,18,99
625,Student_625,20,89
626,Student_626,20,73
627,Student_627,21,69
628,Student_628,20,98
629,Student_629,23,81
630,Student_630,24,76
631,Student_631,21,85
632,Student_632,25,74
633,Student_633,24,85
634,Student_634,18,67
635,Student_635,24,90
636,Student_636,18,51
637,Student_637,21,76
638,Student_638,19,66
639,Student_639,23,83
640,Student_640,19,81
641,Student_641,24,74
642,Student_642,19,92
643,Student_643,23,94
644,Student_644,18,56
645,Student_645,22,90
646,Student_646,22,57
647,Student_647,25,63
648,Student_648,24,87
649,Student_649,21,72
650,Student_650,21,80
651,Student_651,21,52
652,Student_652,18,89
653,Student_653,19,84
654,Student_654,23,56
655,Student_655,19,60
656,Student_656,24,54
657,Student_657,21,81
658,Student_658,22,95
659,Student_659,21,55
660,Student_660,22,99
661,Student_661,21,78
662,Student_662,19,75
663,Student_663,25,71
664,Student_664,18,100
665,Student_665,25,67
666,Student_666,24,72
667,Student_667,21,63
668,Student_668,23,50
669,Student_669,25,69
670,Student_670,20,100
671,Student_671,23,90
672,Student_672,22,85
673,Student_673,19,95
674,Student_674,19,56
675,Student_675,23,56
676,Student_676,21,56
677,Student_677,22,64
678,Student_678,18,50
679,Student_679,21,72
680,Student_680,25,98
681,Student_681,19,83
682,Student_682,18,100
683,Student_683,25,87
684,Student_684,20,73
685,Student_685,21,80
686,Student_686,19,72
687,Student_687,24,94
688,Student_688,24,88
689,Student_689,24,63
690,Student_690,20,87
691,Student_691,18,93
692,Student_692,23,85
693,Student_693,21,51
694,Student_694,25,57
695,Student_695,20,61
696,Student_696,18,60
697,Student_697,20,75
698,Student_698,21,62
699,Student_699,25,87
700,Student_700,24,64
701,Student_701,21,100
702,Student_702,24,73
703,Student_703,25,77
704,Student_704,23,51
705,Student_705,19,91
706,Student_706,24,81
707,Student_707,21,87
708,Student_708,20,78
709,Student_709,23,92
710,Student_710,25,67
711,Student_711,23,72
712,Student_712,23,57
713,Student_713,25,65
714,Student_714,20,64
715,Student_715,18,95
716,Student_716,19,71
717,Student_717,23,77
718,Student_718,24,83
719,Student_719,18,86
720,Student_720,23,94
721,Student_721,20,51
722,Student_722,23,59
723,Student_723,19,72
724,Student_724,20,61
725,Student_725,18,89
726,Student_726,23,92
727,Student_727,23,54
728,Student_728,20,81
729,Student_729,21,76
730,Student_730,20,91
731,Student_731,23,70
732,Student_732,25,68
733,Student_733,22,81
734,Student_734,19,73
735,Student_735,23,71
736,Student_736,20,63
737,Student_737,20,56
738,Student_738,20,76
739,Student_739,20,99
740,Student_740,20,94
741,Student_741,25,80
742,Student_742,20,79
743,Student_743,25,87
744,Student_744,19,59
745,Student_745,19,54
746,Student_746,21,61
747,Student_747,19,84
748,Student_748,19,98
749,Student_749,24,71
750,Student_750,21,100
751,Student_751,24,86
752,Student_752,24,99
753,Student_753,18,94
754,Student_754,19,65
755,Student_755,23,65
756,Student_756,25,65
757,Student_757,22,59
758,Student_758,21,91
759,Student_759,20,89
760,Student_760,24,50
761,Student_761,24,89
762,Student_762,18,96
763,Student_763,20,79
764,Student_764,19,55
765,Student_765,19,71
766,Student_766,23,68
767,Student_767,22,97
768,Student_768,21,51
769,Student_769,22,80
770,Student_770,24,63
771,Student_771,21,77
772,Student_772,20,100
773,Student_773,20,74
774,Student_774,25,92
775,Student_775,18,70
776,Student_776,23,70
777,Student_777,24,61
778,Student_778,22,58
779,Student_779,18,96
780,Student_780,18,57
781,Student_781,18,84
782,Student_782,24,68
783,Student_783,22,79
784,Student_784,18,83
785,Student_785,20,100
786,Student_786,21,62
787,Student_787,21,80
788,Student_788,19,59
789,Student_789,25,53
790,Student_790,19,99
791,Student_791,18,62
792,Student_792,19,56
793,Student_793,25,56
794,Student_794,23,96
795,Student_795,22,70
796,Student_796,23,92
797,Student_797,19,99
798,Student_798,18,82
799,Student_799,20,87
800,Student_800,21,81
801,Student_801,25,55
802,Student_802,20,68
803,Student_803,18,62
804,Student_804,23,98
805,Student_805,21,89
806,Student_806,24,78
807,Student_807,20,64
808,Student_808,23,63
809,Student_809,19,90
810,Student_810,20,51
811,Student_811,18,50
812,Student_812,20,72
813,Student_813,19,77
814,Student_814,19,54
815,Student_815,23,77
816,Student_816,25,63
817,Student_817,21,97
818,Student_818,22,97
819,Student_819,22,77
820,Student_820,25,74
821,Student_821,20,68
822,Student_822,22,51
823,Student_823,19,80
824,Student_824,25,67
825,Student_825,18,87
826,Student_826,24,57
827,Student_827,23,93
828,Student_828,21,69
829,Student_829,22,56
830,Student_830,21,56
831,Student_831,22,62
832,Student_832,23,66
833,Student_833,25,92
834,Student_834,22,58
835,Student_835,19,94
836,Student_836,20,80
837,Student_837,18,68
838,Student_838,23,88
839,Student_839,25,67
840,Student_840,19,65
841,Student_841,23,52
842,Student_842,21,77
843,Student_843,25,65
844,Student_844,18,59
845,Student_845,24,87
846,Student_846,21,91
847,Student_847,19,82
848,Student_848,22,87
849,Student_849,20,80
850,Student_850,22,68
851,Student_851,22,55
852,Student_852,22,97
853,Student_853,24,75
854,Student_854,20,87
855,Student_855,19,88
856,Student_856,21,84
857,Student_857,21,56
858,Student_858,20,82
859,Student_859,19,65
860,Student_860,18,79
861,Student_861,18,78
862,Student_862,25,96
863,Student_863,24,90
864,Student_864,20,88
865,Student_865,20,75
866,Student_866,23,95
867,Student_867,23,80
868,Student_868,22,75
